session.code,participant.code,session_type,session_discount,d_n_dutch_irrational_bid,d_round_dutch_irrational_bid,d_n_dutch_predicted_win,d_diff_dutch_predicted_win,d_round_dutch_predicted_win,d_n_dutch_predicted_lose,d_round_dutch_predicted_lose,d_n_dutch_lucky_win,d_diff_dutch_lucky_win,d_round_dutch_lucky_win,d_n_dutch_greedy_lose,d_diff_dutch_greedy_lose,d_round_dutch_greedy_lose,h_n_dutch_irrational_bid,h_round_dutch_irrational_bid,h_n_dutch_predicted_win,h_diff_dutch_predicted_win,h_round_dutch_predicted_win,h_n_dutch_predicted_lose,h_round_dutch_predicted_lose,h_n_dutch_lucky_win,h_diff_dutch_lucky_win,h_round_dutch_lucky_win,h_n_dutch_greedy_lose,h_diff_dutch_greedy_lose,h_round_dutch_greedy_lose,h_n_contest_correct_bid,h_round_contest_correct_bid,h_n_contest_correct_leave,h_round_contest_correct_leave,h_n_contest_irrational,h_round_contest_irrational,h_n_contest_regret,h_diff_contest_regret,h_round_contest_regret,h_n_english_irrational,h_diff_english_irrational,h_round_english_irrational,h_n_english_correct,h_diff_english_correct,h_round_english_correct
nli0vb0t,nytb287q,02_D1H2,0.019,0,[],7,"[6.8247088200000015, 10.825916370000002, 3.4934841500000005, 5.159689719999999, -0.5065158499999995, 3.8357099800000007, 9.84321034]","[3, 5, 12, 13, 17, 18, 20]",9,"[6, 7, 8, 9, 10, 11, 14, 16, 19]",0,[],[],2,"[3.882484451, 1.1611421700000015]","[4, 15]",0,[],6,"[4.57558242, 19.0, 17.0, 11.30897601, 20.0, 16.87565096]","[3, 4, 12, 13, 14, 17]",3,"[5, 7, 9]",1,[12.30897601],[16],8,"[0.27743662, 0.118518177, 12.30897601, 8.14779549, 5.0, 1.229276187, 9.035820659999999, 2.0863046300000008]","[6, 8, 10, 11, 15, 18, 19, 20]",16,"[3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],0,[],2,"[2, 1]","[8, 9]",1,[-9],[20],15,"[18, 48, 1, 1, 1, 20, 1, 17, 6, 39, 10, 1, 34, 1, 14]","[3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
nli0vb0t,125plpb3,02_D1H2,0.019,0,[],11,"[-1.4866705600000003, 0.8247088200000015, 0.8330153899999999, 2.529180545999999, 3.4988929300000002, 7.4934841500000005, 4.825916370000002, 5.839027099999999, 6.4910065800000005, 3.5083664, 5.830783570000001]","[5, 6, 8, 9, 10, 14, 15, 16, 18, 19, 20]",7,"[3, 4, 7, 11, 12, 13, 17]",0,[],[],0,[],[],0,[],7,"[3.297944340000001, 6.035820659999999, 0.670933539, 0.8697487969999997, 1.0863046300000008, 12.20174179, 5.336843856]","[3, 5, 7, 9, 10, 11, 16]",6,"[4, 14, 15, 17, 19, 20]",2,"[10.20174179, -1.489553592]","[6, 8]",3,"[0.6181032799999997, 6.922720893999999, 11.29794434]","[12, 13, 18]",16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",2,"[17, 20]",0,[],0,[],[],5,"[-2, -2, -2, -1, -1]","[4, 8, 13, 15, 19]",11,"[0, 29, 29, 5, 8, 16, 8, 5, 7, 14, 1]","[3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 18]"
nli0vb0t,ybapfguj,02_D1H2,0.019,0,[],8,"[6.16283039, 2.51994266, 3.157319379999997, 1.4988929300000002, -1.8403102800000006, -2.1726989199999984, 0.8259163700000016, -0.5065158499999995]","[3, 5, 7, 9, 11, 14, 16, 17]",8,"[4, 6, 8, 10, 13, 15, 18, 20]",1,[-2.8076130799999994],[19],1,[1.4950093399999993],[12],0,[],9,"[-6.004068009999999, -6.251306380000001, 1.2017417899999998, 0.6181032799999997, -3.1591670799999996, 2.0, -0.329790842, -2.85220451, 1.7866615999999986]","[5, 7, 9, 11, 13, 15, 16, 18, 20]",1,[3],8,"[-3.251306380000001, 0.6181032799999997, -4.15916708, -7.913695369999999, -2.2780441099999997, -3.6631561440000002, 0.6181032799999997, -4.159250086]","[4, 6, 8, 10, 12, 14, 17, 19]",0,[],[],17,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",1,[3],0,[],0,[],[],0,[],[],17,"[0, 1, 1, 5, 0, 11, 0, 14, 0, 10, 1, 5, 4, 0, 1, 1, 26]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
nli0vb0t,0bpzxu3k,02_D1H2,0.019,0,[],5,"[0.16283038999999988, 3.4950093399999993, -1.8351830000000007, -3.8299300400000007, -0.8403102800000006]","[6, 7, 11, 13, 17]",7,"[3, 8, 14, 15, 16, 19, 20]",4,"[-0.035745696999999854, -1.16698461, -6.160972900000001, -2.1513525199999997]","[4, 5, 12, 18]",2,"[2.5083664, 5.82890463]","[9, 10]",0,[],3,"[0.5391413699999994, 10.786661599999999, 4.871982170000001]","[15, 17, 20]",5,"[4, 5, 6, 9, 13]",3,"[2.082577347, 1.670933539, 1.0863046300000008]","[10, 11, 19]",7,"[10.57558242, 10.30897601, 9.786661599999999, 3.082577347, 17.61810328, 5.57558242, 0.5539440870000001]","[3, 7, 8, 12, 14, 16, 18]",16,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]",2,"[9, 13]",0,[],0,[],[],1,[-4],[20],15,"[23, 3, 0, 0, 25, 25, 0, 0, 7, 6, 13, 21, 35, 0, 0]","[3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19]"
nli0vb0t,ql1bcebi,02_D1H2,0.019,0,[],10,"[-5.1752911799999985, 0.8247088200000015, -2.8415728700000003, 5.835709980000001, 3.4988929300000002, 8.15968972, -2.4954939299999985, 5.5083664, 1.8357099800000007, 3.1671888300000006]","[3, 6, 8, 9, 10, 14, 17, 18, 19, 20]",3,"[11, 13, 16]",3,"[2.5045060700000015, -5.48667056, -2.1513525199999997]","[4, 7, 15]",2,"[2.51994266, 3.8559962599999995]","[5, 12]",0,[],10,"[4.8756509600000015, 5.1913364600000005, 1.6371257000000004, 0.27743662, 11.57558242, 1.9959319900000008, 11.035820659999999, 15.0, 4.393485996000001, -0.06651268899999996]","[4, 5, 6, 7, 9, 14, 16, 18, 19, 20]",2,"[11, 12]",3,"[-0.5916837389999996, 3.8697487969999997, -0.742043001]","[3, 8, 10]",3,"[0.22927618699999996, 2.0, 0.22927618699999996]","[13, 15, 17]",18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],0,[],0,[],[],0,[],[],18,"[2, 16, 19, 19, 3, 3, 32, 0, 2, 2, 1, 13, 5, 17, 1, 8, 19, 2]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
nli0vb0t,kmgpsss2,02_D1H2,0.019,0,[],5,"[4.501418510000001, 6.1781915000000005, 5.4934841500000005, 6.1611421700000015, 9.161142170000002]","[4, 5, 6, 13, 16]",11,"[3, 7, 8, 9, 11, 12, 15, 17, 18, 19, 20]",1,[-1.1175155490000002],[10],1,[8.827301080000002],[14],0,[],2,"[-6.913695369999999, 2.95285355]","[12, 13]",4,"[4, 6, 9, 10]",0,[],[],12,"[3.297944340000001, 3.7219558900000003, 0.27743662, 13.0, 13.43752828, 0.9042758259999999, 13.43752828, 1.4570040889999998, 5.922720893999999, 4.875530263, 10.20174179, 0.27743662]","[3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 19, 20]",16,"[3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",2,"[4, 6]",0,[],0,[],[],0,[],[],16,"[0, 22, 3, 27, 0, 3, 8, 10, 8, 1, 6, 0, 0, 10, 27, 2]","[3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
nli0vb0t,si42qbgf,02_D1H2,0.019,0,[],10,"[4.5045060700000015, -5.840310280000001, -7.160972900000001, -6.842680620000003, -3.117515549, -4.8388578299999985, 3.4910065800000005, -3.1440037400000005, -0.5011070699999998, -3.1440037400000005]","[3, 4, 6, 7, 8, 9, 10, 11, 13, 15]",7,"[5, 14, 16, 17, 18, 19, 20]",0,[],[],1,[0.4967890799999992],[12],0,[],8,"[-0.0957241740000001, 4.353346303, 17.7866616, 19.0, 15.14779549, 19.0, 7.457004089, 16.29794434]","[9, 11, 12, 14, 15, 17, 19, 20]",3,"[7, 10, 16]",5,"[-1.770723813, -5.460858630000001, 0.8719821700000008, -1.1591670799999996, -0.556480764]","[3, 4, 5, 8, 13]",2,"[11.0, 5.72195589]","[6, 18]",18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,[],0,[],0,[],[],1,[-3],[3],17,"[7, 17, 32, 4, 1, 7, 0, 12, 37, 0, 9, 9, 0, 13, 1, 15, 34]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
15t0rnnr,zdnh7x5w,05_D1H2,0.019,0,[],1,[1.5707789599999984],[26],22,"[3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27]",1,[-5.761300239999997],[18],1,[0.7375491499999995],[7],0,[],1,[13.96990332],[6],12,"[3, 11, 12, 13, 16, 17, 19, 20, 23, 25, 26, 27]",3,"[-1.7658102000000007, -3.1713350499999997, -1.0300966799999998]","[7, 8, 9]",9,"[14.29532673, 15.36419608, 6.902244199999998, 17.44237164, 3.8117388499999993, 19.96990332, 13.632882819999999, 2.9008303599999996, 13.763910889999998]","[4, 5, 10, 14, 15, 18, 21, 22, 24]",15,"[4, 5, 6, 7, 8, 9, 10, 14, 15, 18, 21, 22, 23, 24, 26]",8,"[11, 12, 13, 16, 17, 19, 20, 25]",0,[],2,"[1, 2]","[3, 27]",0,[],[],15,"[1, 9, 9, 1, 1, 1, 2, 17, 1, 8, 3, 1, 0, 3, 0]","[4, 5, 6, 7, 8, 9, 10, 14, 15, 18, 21, 22, 23, 24, 26]"
15t0rnnr,t7atobjm,05_D1H2,0.019,0,[],4,"[-3.4292210400000016, -3.4276417399999985, -3.2624508500000005, -2.428533289999997]","[12, 13, 15, 16]",19,"[3, 5, 6, 7, 8, 9, 10, 11, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27]",2,"[-4.2595314900000005, -1.7621147199999996]","[4, 26]",0,[],[],0,[],0,[],[],19,"[5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27]",2,"[6.261165299999998, 4.763910889999998]","[4, 8]",4,"[0.7059705100000002, 0.44237164000000107, 12.498851290000001, 9.92939526]","[3, 9, 10, 22]",12,"[3, 4, 7, 8, 9, 10, 11, 16, 17, 22, 24, 26]",11,"[5, 6, 12, 13, 14, 15, 18, 19, 23, 25, 27]",0,[],2,"[3, 1]","[20, 21]",0,[],[],12,"[4, 3, 1, 4, 3, 11, 1, 2, 2, 11, 2, 3]","[3, 4, 7, 8, 9, 10, 11, 16, 17, 22, 24, 26]"
15t0rnnr,2v28o8ao,05_D1H2,0.019,0,[],1,[4.23788528],[10],23,"[3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0,[],[],1,[3.238699760000003],[4],0,[],2,"[10.98754448, 24.0]","[20, 21]",10,"[3, 4, 7, 9, 12, 13, 16, 17, 24, 26]",6,"[5.916103790000001, 3.36746357, 7.632882819999999, 3.8117388499999993, 6.811738849999999, 16.17908839]","[5, 6, 10, 15, 18, 25]",7,"[9.916103790000001, 6.0, 3.5358644499999983, 0.7149155100000009, 9.96990332, 4.92939526, 11.0]","[8, 11, 14, 19, 22, 23, 27]",17,"[3, 5, 6, 8, 10, 11, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 27]",6,"[7, 9, 12, 13, 16, 24]",0,[],2,"[1, 3]","[4, 26]",1,[-1],[17],16,"[0, 0, 1, 11, 3, 4, 1, 2, 1, 0, 2, 16, 0, 0, 3, 1]","[3, 5, 6, 8, 10, 11, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27]"
15t0rnnr,kt4qj72f,05_D1H2,0.019,0,[],7,"[-1.2624508500000005, -3.2595314900000005, -2.7621147199999996, -3.5953266100000008, -0.26245085000000046, 0.5707789599999984, -3.7587100500000012]","[9, 11, 14, 20, 21, 22, 24]",17,"[3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 16, 17, 18, 19, 25, 26, 27]",1,[-4.2608001500000015],[23],0,[],[],0,[],3,"[-0.7658102000000007, -0.7868984900000005, 0.44237164000000107]","[11, 14, 17]",12,"[3, 7, 8, 10, 12, 15, 19, 20, 24, 25, 26, 27]",7,"[-0.5567990099999989, 0.44237164000000107, -4.827668580000001, -3.367117180000001, -3.827668580000001, -3.9111024699999994, 1.916103790000001]","[9, 13, 16, 18, 21, 22, 23]",3,"[9.172331419999999, 10.261165299999998, 8.096137550000002]","[4, 5, 6]",16,"[3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 18, 21, 22, 23]",8,"[7, 10, 15, 19, 20, 25, 26, 27]",0,[],1,[2],[24],0,[],[],16,"[1, 3, 2, 1, 0, 1, 2, 1, 1, 6, 1, 4, 1, 0, 1, 0]","[3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 18, 21, 22, 23]"
15t0rnnr,ovsmhled,05_D1H2,0.019,0,[],4,"[0.23788528000000042, -2.0956765899999965, 0.40467338999999924, -0.9256678799999989]","[11, 12, 16, 23]",20,"[3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27]",0,[],[],1,[7.404673389999999],[4],1,[26],0,[],[],9,"[3, 4, 5, 9, 10, 11, 17, 24, 25]",0,[],[],15,"[1.5358644499999983, 2.0, 4.916103790000001, 3.9875444800000004, 2.0, 4.261165299999998, 0.9875444800000004, 5.498851290000001, 1.7639108899999982, 2.0, 9.535864449999998, 14.36419608, 12.17908839, 12.172331419999999, 8.029393630000001]","[6, 7, 8, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 27]",15,"[6, 7, 8, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 27]",6,"[3, 4, 5, 17, 24, 25]",3,"[9, 10, 26]",1,[1],[11],6,"[-19, -10, -1, -1, -1, -28]","[9, 10, 14, 15, 19, 26]",12,"[0, 7, 0, 0, 6, 2, 8, 0, 0, 3, 9, 3]","[6, 7, 8, 12, 13, 16, 18, 20, 21, 22, 23, 27]"
15t0rnnr,v2fxgek6,05_D1H2,0.019,0,[],4,"[-3.594474929999997, 0.07110201999999788, -2.4292210400000016, -2.7621147199999996]","[5, 19, 20, 21]",18,"[4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 23, 24, 25, 26, 27]",2,"[-3.925667879999999, -2.2608001500000015]","[3, 8]",1,[1.4046733899999992],[6],0,[],3,"[-2.501148709999999, 7.561739750000001, 19.0]","[12, 15, 24]",12,"[5, 6, 7, 9, 10, 14, 18, 19, 20, 21, 25, 26]",6,"[-0.7658102000000007, -2.5010958, 5.17908839, 9.71491551, 0.2484974150000001, 5.64757653]","[3, 4, 11, 13, 22, 23]",4,"[5.0, 6.916103790000001, 0.49885129000000106, 11.0]","[8, 16, 17, 27]",14,"[3, 4, 8, 11, 12, 13, 15, 16, 17, 22, 23, 24, 25, 27]",9,"[5, 6, 7, 9, 10, 19, 20, 21, 26]",0,[],2,"[2, 3]","[14, 18]",1,[-3],[4],13,"[2, 3, 2, 2, 5, 8, 3, 1, 1, 2, 12, 1, 2]","[3, 8, 11, 12, 13, 15, 16, 17, 22, 23, 24, 25, 27]"
15t0rnnr,serh36i8,05_D1H2,0.019,0,[],4,"[-2.9270889800000006, 0.9043234100000035, -2.2617343599999984, -3.761300239999997]","[14, 17, 19, 24]",21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23, 25, 26, 27]",0,[],[],0,[],[],0,[],0,[],[],16,"[3, 5, 6, 7, 8, 10, 11, 12, 14, 16, 17, 19, 20, 23, 26, 27]",1,[4.82866495],[25],8,"[21.0, 11.17908839, 11.172331419999999, 14.029393630000001, 16.29532673, 8.0, 0.2484974150000001, 2.498851290000001]","[4, 9, 13, 15, 18, 21, 22, 24]",14,"[4, 5, 6, 9, 10, 11, 12, 13, 15, 18, 21, 22, 24, 25]",9,"[3, 7, 8, 14, 17, 19, 20, 23, 26]",0,[],2,"[1, 1]","[16, 27]",2,"[-1, -1]","[10, 12]",12,"[12, 0, 0, 17, 0, 7, 15, 3, 18, 0, 2, 1]","[4, 5, 6, 9, 11, 13, 15, 18, 21, 22, 24, 25]"
15t0rnnr,stv753dg,05_D1H2,0.019,0,[],9,"[-2.594474929999997, 0.5714667100000028, -2.0939494699999983, 1.4046733899999992, 0.7375491499999995, -4.094929499999999, -0.4221175300000013, -0.4247332099999994, 2.7382656400000016]","[4, 6, 8, 9, 15, 17, 18, 25, 27]",16,"[3, 5, 7, 10, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 24, 26]",0,[],[],0,[],[],0,[],1,[19.0],[3],15,"[4, 5, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 23]",2,"[14.2341898, 5.82866495]","[12, 27]",7,"[2.9875444800000004, 5.916103790000001, 3.9699033200000002, 2.0, 4.98754448, 17.0, 2.0]","[6, 7, 16, 19, 24, 25, 26]",10,"[3, 7, 12, 15, 16, 19, 24, 25, 26, 27]",11,"[4, 5, 8, 10, 11, 14, 17, 18, 21, 22, 23]",0,[],4,"[12, 3, 5, 5]","[6, 9, 13, 20]",1,[-1],[16],9,"[16, 10, 0, 0, 0, 0, 5, 14, 0]","[3, 7, 12, 15, 19, 24, 25, 26, 27]"
15t0rnnr,77i4h44s,05_D1H2,0.019,0,[],5,"[-2.428533289999997, -2.5933353399999994, -3.5953266100000008, -3.7621147199999996, -4.595326610000001]","[3, 5, 7, 22, 27]",20,"[4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26]",0,[],[],0,[],[],0,[],3,"[3.442371640000001, 2.0, 4.70597051]","[17, 19, 24]",9,"[7, 8, 9, 11, 13, 15, 21, 22, 25]",5,"[8.08889753, 4.98754448, -0.9111024699999994, -1.827668580000001, 3.561739750000001]","[5, 14, 20, 26, 27]",8,"[8.632882819999999, 0.36746356999999996, 11.36419608, 10.561739750000001, 17.91610379, 3.2341897999999993, 1.78704484, 2.0]","[3, 4, 6, 10, 12, 16, 18, 23]",17,"[3, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 20, 23, 24, 26, 27]",8,"[7, 8, 9, 11, 13, 21, 22, 25]",0,[],0,[],[],0,[],[],17,"[1, 1, 1, 12, 7, 5, 0, 0, 0, 5, 0, 1, 0, 1, 5, 2, 0]","[3, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 20, 23, 24, 26, 27]"
15t0rnnr,b2lhxoes,05_D1H2,0.019,0,[],5,"[5.570778959999998, 0.7375491499999995, 6.7375491499999995, 0.9050705000000008, -0.7621147199999996]","[6, 7, 10, 13, 25]",20,"[3, 4, 5, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27]",0,[],[],0,[],[],0,[],2,"[5.498851290000001, 9.498851290000001]","[16, 19]",13,"[3, 4, 6, 8, 11, 13, 14, 15, 17, 21, 24, 26, 27]",2,"[0.7639108899999982, 8.82866495]","[7, 10]",8,"[6.0, 2.0, 1.8117388499999993, 1.0778043200000003, 4.172331419999999, 3.3641960799999993, 6.36746357, 10.70597051]","[5, 9, 12, 18, 20, 22, 23, 25]",14,"[5, 7, 9, 10, 12, 13, 16, 18, 19, 20, 22, 23, 25, 27]",10,"[3, 4, 8, 11, 14, 15, 17, 21, 24, 26]",0,[],1,[4],[6],0,[],[],14,"[3, 3, 11, 6, 1, 1, 2, 1, 12, 7, 0, 1, 9, 0]","[5, 7, 9, 10, 12, 13, 16, 18, 19, 20, 22, 23, 25, 27]"
w4lqxa01,8vp5cg8d,05_D1H2,0.019,0,[],5,"[0.7375491499999995, -0.7613002399999971, -0.5953266100000008, -3.7621147199999996, -3.761300239999997]","[5, 6, 7, 25, 28]",23,"[3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30]",0,[],[],0,[],[],0,[],6,"[-5.17133505, -5.285084489999999, 2.0, -2.2360891100000018, 2.0, -1.7658102000000007]","[8, 10, 11, 16, 17, 19]",17,"[3, 4, 5, 6, 7, 12, 14, 15, 18, 20, 21, 22, 23, 24, 25, 29, 30]",2,"[-6.738834700000002, -5.438260249999999]","[9, 13]",3,"[6.714915510000001, 2.9293952599999997, 7.0]","[26, 27, 28]",14,"[3, 8, 9, 10, 11, 13, 16, 17, 19, 24, 26, 27, 28, 29]",11,"[4, 5, 7, 12, 14, 15, 20, 21, 22, 25, 30]",0,[],3,"[1, 1, 1]","[6, 18, 23]",1,[-2],[9],13,"[3, 6, 4, 0, 0, 8, 8, 3, 0, 2, 0, 9, 0]","[3, 8, 10, 11, 13, 16, 17, 19, 24, 26, 27, 28, 29]"
w4lqxa01,99eo3cv9,05_D1H2,0.019,0,[],3,"[-4.429221040000002, -4.4276417399999985, -2.0956765899999965]","[11, 23, 26]",24,"[3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30]",1,[-3.2608001500000015],[9],0,[],[],0,[],4,"[-6.738834700000002, -3.7046732700000007, 1.0, -4.704673270000001]","[4, 7, 21, 23]",17,"[3, 6, 8, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 24, 25, 27, 28]",6,"[-0.7658102000000007, -2.1882611500000007, -5.738834700000002, -4.704673270000001, -7.635803920000001, 2.0888975300000006]","[9, 10, 14, 26, 29, 30]",1,[1.916103790000001],[5],13,"[4, 5, 7, 9, 10, 13, 14, 20, 21, 23, 26, 29, 30]",14,"[3, 6, 8, 11, 12, 15, 16, 17, 18, 19, 22, 24, 25, 27]",0,[],1,[1],[28],0,[],[],13,"[2, 9, 3, 0, 0, 1, 0, 4, 5, 7, 2, 0, 1]","[4, 5, 7, 9, 10, 13, 14, 20, 21, 23, 26, 29, 30]"
w4lqxa01,5ijp1psm,05_D1H2,0.019,0,[],3,"[-5.093949469999998, -2.2624508500000005, -0.09567658999999651]","[4, 16, 21]",24,"[3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,[],[],1,[0.7375491499999995],[10],0,[],1,[2.70597051],[6],20,"[3, 4, 5, 7, 8, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28]",2,"[-6.827668580000001, 3.8117388499999993]","[13, 26]",5,"[8.0, 5.07780432, 10.172331419999999, 8.0, 15.2341898]","[9, 16, 27, 29, 30]",12,"[4, 6, 9, 11, 13, 15, 16, 17, 26, 27, 29, 30]",16,"[3, 5, 7, 8, 10, 12, 14, 18, 19, 20, 21, 22, 23, 24, 25, 28]",0,[],0,[],[],6,"[-2, -2, -1, -1, -1, -1]","[4, 11, 13, 16, 17, 26]",6,"[16, 19, 0, 10, 5, 5]","[6, 9, 15, 27, 29, 30]"
w4lqxa01,iw9n3s9j,05_D1H2,0.019,0,[],5,"[2.071102019999998, -2.0875731099999992, -4.594474929999997, 0.5707789599999984, -2.9270889800000006]","[3, 4, 11, 13, 19]",20,"[5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]",3,"[-5.92811828, -1.4264402499999989, -5.2595314900000005]","[10, 12, 27]",0,[],[],0,[],6,"[3.0, -4.188261150000001, -3.9706063699999987, -3.2360891100000018, -8.827668580000001, -8.556799009999999]","[3, 6, 14, 15, 19, 21]",14,"[7, 8, 9, 10, 11, 13, 16, 17, 18, 23, 24, 25, 26, 29]",8,"[-3.9706063699999987, -7.635803920000001, -5.21295516, -5.438260249999999, -5.438260249999999, -6.17133505, -4.827668580000001, -6.01245552]","[4, 5, 12, 20, 22, 27, 28, 30]",0,[],[],14,"[3, 4, 5, 6, 12, 14, 15, 19, 20, 21, 22, 27, 28, 30]",13,"[7, 8, 10, 11, 13, 16, 17, 18, 23, 24, 25, 26, 29]",0,[],1,[12],[9],7,"[-4, -7, -2, -5, -7, -8, -6]","[5, 12, 20, 22, 27, 28, 30]",7,"[16, 4, 4, 4, 9, 1, 1]","[3, 4, 6, 14, 15, 19, 21]"
w4lqxa01,71cpbfni,05_D1H2,0.019,0,[],2,"[-7.428533289999997, -2.4276417399999985]","[5, 9]",23,"[3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30]",0,[],[],3,"[0.23788528000000042, 0.07188172000000037, 5.23978206]","[10, 22, 23]",0,[],0,[],[],20,"[3, 4, 5, 6, 7, 9, 10, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",1,[-5.903862449999998],[8],7,"[1.916103790000001, 3.5358644499999983, 12.0, 8.498851290000001, 14.763910889999998, 6.17908839, 12.29532673]","[11, 12, 18, 24, 26, 28, 30]",11,"[8, 11, 12, 14, 18, 22, 24, 26, 28, 29, 30]",13,"[4, 5, 6, 9, 10, 13, 15, 16, 17, 20, 21, 23, 27]",2,"[3, 7]",2,"[5, 6]","[19, 25]",2,"[-26, -3]","[3, 7]",11,"[2, 0, 3, 0, 5, 0, 2, 13, 7, 0, 1]","[8, 11, 12, 14, 18, 22, 24, 26, 28, 29, 30]"
w4lqxa01,8wo14i1u,05_D1H2,0.019,0,[],6,"[-2.7621147199999996, -2.2617343599999984, -1.4285332899999972, -2.0949294999999992, -0.0926078600000011, 0.40467338999999924]","[13, 17, 20, 21, 22, 30]",19,"[3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 16, 18, 19, 23, 24, 26, 27, 28, 29]",2,"[-4.761300239999997, 0.9093406799999997]","[10, 15]",1,[7.405525070000003],[25],0,[],0,[],[],21,"[3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 30]",1,[14.443200990000001],[16],6,"[11.70597051, 2.0, 5.632882819999999, 2.0, 12.916103790000001, 1.6475765300000003]","[10, 11, 12, 20, 24, 26]",13,"[3, 7, 9, 10, 11, 12, 16, 20, 21, 24, 26, 27, 30]",15,"[4, 5, 6, 8, 13, 14, 15, 17, 18, 19, 22, 23, 25, 28, 29]",0,[],0,[],[],1,[-1],[27],12,"[2, 0, 0, 19, 1, 2, 0, 0, 0, 0, 0, 0]","[3, 7, 9, 10, 11, 12, 16, 20, 21, 24, 26, 30]"
